'y-axis saved as y
'x,ear_i_0fillin_inbi_032821.xy,Bkg,Ycalc,Diff,Structure
6.015,268,259.517798,259.517798,8.48220154,0
6.03,277,259.378372,259.378372,17.621628,0
6.045,268,259.238942,259.238942,8.7610581,0
6.06,280,259.099508,259.099508,20.9004917,0
6.075,291,258.960071,258.960071,32.0399287,0
6.09,255,258.820631,258.820631,-3.82063091,0
6.105,255,258.681187,258.681187,-3.68118736,0
6.12,267,258.541741,258.541741,8.4582593,0
6.135,251,258.402291,258.402291,-7.40229105,0
6.15,265,258.262838,258.262838,6.7371615,0
6.165,282,258.123383,258.123383,23.8766168,0
6.18,284,257.983925,257.983925,26.0160749,0
6.195,286,257.844465,257.844465,28.1555355,0
6.21,289,257.705001,257.705001,31.2949986,0
6.225,291,257.565536,257.565536,33.434464,0
6.24,280,257.426068,257.426068,22.5739318,0
6.255,266,257.286598,257.286598,8.71340167,0
6.27,268,257.147126,257.147126,10.8528736,0
6.285,271,257.007652,257.007652,13.9923476,0
6.3,282,256.868177,256.868177,25.1318234,0
6.315,254,256.728699,256.728699,-2.7286991,0
6.33,275,256.58922,256.58922,18.4107801,0
6.345,285,256.449739,256.449739,28.5502608,0
6.36,276,256.310257,256.310257,19.689743,0
6.375,271,256.170773,256.170773,14.8292266,0
6.39,265,256.031289,256.031289,8.96871135,0
6.405,241,255.891803,255.891803,-14.8918027,0
6.42,279,255.752316,255.752316,23.2476842,0
6.435,264,255.612828,255.612828,8.38717211,0
6.45,291,255.473339,255.473339,35.5266608,0
6.465,293,255.33385,255.33385,37.6661503,0
6.48,269,255.19436,255.19436,13.8056404,0
6.495,283,255.054869,255.054869,27.945131,0
6.51,286,254.915378,254.915378,31.084622,0
6.525,274,254.775887,254.775887,19.2241133,0
6.54,273,254.636395,254.636395,18.3636049,0
6.555,241,254.496903,254.496903,-13.4969034,0
6.57,263,254.357412,254.357412,8.6425883,0
6.585,271,254.21792,254.21792,16.7820799,0
6.6,245,254.078429,254.078429,-9.07842864,0
6.615,251,253.938937,253.938937,-2.93893748,0
6.63,269,253.799447,253.799447,15.2005533,0
6.645,268,253.659956,253.659956,14.3400436,0
6.66,295,253.520467,253.520467,41.4795333,0
6.675,261,253.380978,253.380978,7.61902226,0
6.69,258,253.24149,253.24149,4.75851047,0
6.705,244,253.102002,253.102002,-9.10200221,0
6.72,238,252.962516,252.962516,-14.9625159,0
6.735,246,252.823031,252.823031,-6.82303064,0
6.75,258,252.683547,252.683547,5.31645341,0
6.765,304,252.544064,252.544064,51.4559362,0
6.78,277,252.404582,252.404582,24.5954175,0
6.795,267,252.265103,252.265103,14.7348974,0
6.81,278,252.125624,252.125624,25.8743757,0
6.825,273,251.986148,251.986148,21.0138523,0
6.84,264,251.846673,251.846673,12.1533271,0
6.855,270,251.7072,251.7072,18.2928,0
6.87,258,251.567729,251.567729,6.43227092,0
6.885,239,251.42826,251.42826,-12.4282603,0
6.9,272,251.288794,251.288794,20.7112064,0
6.915,246,251.149329,251.149329,-5.14932925,0
6.93,266,251.009867,251.009867,14.9901327,0
6.945,269,250.870408,250.870408,18.1295922,0
6.96,240,250.730951,250.730951,-10.7309509,0
6.975,257,250.591497,250.591497,6.40850333,0
6.99,233,250.452045,250.452045,-17.4520452,0
7.005,246,250.312597,250.312597,-4.31259667,0
7.02,245,250.173151,250.173151,-5.1731511,0
7.035,227,250.033709,250.033709,-23.0337086,0
7.05,243,249.894269,249.894269,-6.89426927,0
7.065,248,249.754833,249.754833,-1.75483321,0
7.08,222,249.615401,249.615401,-27.6154005,0
7.095,228,249.475971,249.475971,-21.4759713,0
7.11,267,249.336546,249.336546,17.6634543,0
7.125,256,249.197124,249.197124,6.80287631,0
7.14,242,249.057705,249.057705,-7.05770547,0
7.155,273,248.918291,248.918291,24.0817089,0
7.17,256,248.778881,248.778881,7.22111928,0
7.185,246,248.639474,248.639474,-2.63947437,0
7.2,239,248.500072,248.500072,-9.50007218,0
7.215,239,248.360674,248.360674,-9.36067424,0
7.23,230,248.221281,248.221281,-18.2212806,0
7.245,258,248.081891,248.081891,9.91810851,0
7.26,274,247.942507,247.942507,26.0574931,0
7.275,248,247.803127,247.803127,0.196873098,0
7.29,238,247.663752,247.663752,-9.66375166,0
7.305,228,247.524381,247.524381,-19.5243813,0
7.32,233,247.385016,247.385016,-14.3850158,0
7.335,225,247.245655,247.245655,-22.2456553,0
7.35,231,247.1063,247.1063,-16.1063,0
7.365,232,246.96695,246.96695,-14.9669499,0
7.38,238,246.827605,246.827605,-8.82760504,0
7.395,229,246.688266,246.688266,-17.6882656,0
7.41,220,246.548932,246.548932,-26.5489317,0
7.425,238,246.409603,246.409603,-8.40960344,0
7.44,258,246.270281,246.270281,11.7297192,0
7.455,242,246.130964,246.130964,-4.13096403,0
7.47,247,245.991653,245.991653,1.00834689,0
7.485,250,245.852348,245.852348,4.14765183,0
7.5,257,245.713049,245.713049,11.2869507,0
7.515,261,245.573757,245.573757,15.4262434,0
7.53,237,245.43447,245.43447,-8.43447019,0
7.545,235,245.29519,245.29519,-10.2951901,0
7.56,240,245.155917,245.155917,-5.15591653,0
7.575,249,245.016649,245.016649,3.98335051,0
7.59,235,244.877389,244.877389,-9.87738909,0
7.605,236,244.738135,244.738135,-8.73813543,0
7.62,249,244.598889,244.598889,4.40111139,0
7.635,229,244.459649,244.459649,-15.4596487,0
